time,row,col,demand
713, 7, 0, 0
86, 1, 5, 604
584, 6, 7, 0
226, 7, 6, 0
696, 3, 7, 134
117, 3, 5, 56
662, 3, 5, 223
439, 0, 6, 8
190, 2, 1, 0
65, 3, 5, 702
177, 6, 7, 0
126, 2, 3, 0
250, 4, 5, 9
145, 5, 5, 41
404, 5, 5, 96
205, 2, 0, 0
643, 0, 1, 11
335, 6, 6, 36
5, 4, 7, 0
509, 4, 1, 15
694, 7, 4, 21
8, 6, 0, 0
639, 2, 6, 37
432, 7, 1, 0
681, 5, 7, 0
110, 1, 7, 23
42, 3, 7, 52
407, 0, 1, 41
111, 5, 0, 0
594, 2, 6, 291
187, 5, 4, 27
510, 0, 2, 23
414, 4, 6, 43
318, 5, 2, 10
699, 2, 2, 91
27, 4, 1, 0
694, 1, 2, 128
374, 2, 6, 46
121, 0, 1, 0
389, 3, 4, 89
341, 4, 6, 17
576, 6, 3, 27
273, 3, 5, 14
326, 6, 5, 51
638, 1, 7, 60
465, 5, 4, 0
616, 0, 2, 64
483, 3, 1, 0
258, 4, 5, 50
578, 6, 2, 0
107, 1, 4, 10
645, 0, 3, 116
152, 2, 0, 23
277, 0, 2, 0
157, 1, 5, 77
625, 3, 1, 37
277, 5, 1, 0
382, 1, 2, 46
377, 7, 5, 0
567, 5, 7, 158
531, 5, 6, 31
285, 7, 1, 0
251, 0, 2, 31
416, 6, 4, 0
372, 7, 0, 0
228, 6, 1, 0
338, 1, 7, 75
534, 5, 0, 0
290, 3, 1, 0
390, 3, 1, 0
248, 7, 7, 0
428, 3, 7, 55
618, 6, 4, 36
181, 4, 0, 0
715, 5, 1, 0
280, 3, 5, 52
41, 0, 6, 344
424, 5, 4, 39
8, 4, 1, 0
709, 0, 3, 22
350, 2, 3, 91
597, 7, 5, 27
134, 2, 5, 111
465, 7, 1, 0
358, 0, 5, 605
520, 7, 0, 0
651, 5, 1, 0
479, 0, 6, 751
585, 7, 4, 0
285, 4, 3, 47
53, 7, 7, 0
88, 1, 6, 322
676, 6, 1, 0
15, 0, 6, 164
126, 1, 6, 4
599, 1, 4, 44
593, 3, 7, 88
619, 3, 0, 0
288, 0, 3, 19
193, 7, 0, 5
670, 2, 0, 0
664, 4, 4, 63
488, 6, 0, 0
510, 7, 6, 0
221, 3, 5, 8
510, 3, 6, 9
103, 4, 4, 13
215, 6, 5, 5
158, 2, 0, 0
652, 1, 7, 122
95, 2, 2, 26
637, 6, 5, 86
68, 7, 5, 24
415, 0, 2, 12
252, 7, 5, 9
30, 6, 0, 0
609, 6, 5, 0
386, 2, 1, 0
681, 4, 4, 41
708, 5, 7, 22
329, 6, 1, 0
367, 0, 0, 0
55, 6, 4, 0
182, 5, 0, 0
587, 4, 2, 0
42, 3, 5, 2256
144, 4, 6, 32
369, 6, 6, 0
279, 5, 2, 0
463, 7, 0, 0
72, 2, 0, 0
107, 2, 3, 4
619, 0, 0, 28
202, 4, 7, 8
700, 0, 0, 56
245, 6, 0, 0
381, 0, 4, 96
167, 4, 3, 18
94, 0, 3, 57
667, 4, 5, 141
163, 7, 5, 11
191, 2, 5, 31
81, 1, 6, 51
244, 0, 4, 0
178, 1, 0, 0
110, 4, 0, 0
534, 2, 5, 15
136, 1, 7, 46
459, 5, 1, 13
404, 4, 7, 53
59, 1, 7, 500
76, 2, 6, 4
411, 2, 5, 219
59, 7, 0, 0
523, 0, 5, 266
670, 0, 1, 12
129, 5, 2, 0
39, 4, 7, 77
475, 7, 1, 0
9, 4, 0, 0
48, 3, 0, 0
637, 5, 4, 0
668, 7, 3, 71
531, 0, 1, 0
137, 7, 6, 0
569, 3, 6, 158
177, 2, 4, 0
362, 5, 2, 17
144, 4, 1, 4
458, 0, 2, 34
404, 7, 1, 0
408, 2, 2, 51
584, 5, 1, 0
660, 5, 5, 71
2, 0, 3, 3
604, 2, 3, 128
43, 3, 2, 9
446, 0, 4, 53
476, 7, 1, 0
667, 1, 4, 82
108, 0, 2, 23
354, 1, 4, 27
312, 7, 3, 0
609, 1, 5, 0
356, 6, 5, 10
470, 1, 6, 61
559, 1, 3, 10
51, 6, 0, 0
605, 5, 6, 28
63, 7, 1, 0
147, 6, 2, 0
685, 7, 5, 0
72, 4, 5, 38
251, 5, 3, 0
